"sentiment","range","airline","timezone"
"positive","D","Virgin America","Arizona"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Caracas"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"negative","B","Virgin America","Mountain Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Atlantic Time (Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Santiago"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Caracas"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Arizona"
"positive","D","Virgin America","Alaska"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","A","Virgin America","Santiago"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","A","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Sydney"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Sydney"
"positive","D","Virgin America","Arizona"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Sydney"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Quito"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Sydney"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Sydney"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Sydney"
"positive","D","Virgin America","Sydney"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Quito"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Quito"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Quito"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","London"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Arizona"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Tijuana"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Arizona"
"negative","B","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","London"
"neutral","C","Virgin America","Arizona"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Quito"
"negative","B","Virgin America","Abu Dhabi"
"positive","E","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Arizona"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Abu Dhabi"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Arizona"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","A","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central America"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Caracas"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Atlantic Time (Canada)"
"negative","B","Virgin America","Atlantic Time (Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"negative","B","Virgin America","Atlantic Time (Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Atlantic Time (Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Tijuana"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"negative","B","United","Alaska"
"negative","B","United","Mountain Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Edinburgh"
"positive","E","United","Quito"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Edinburgh"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Tijuana"
"negative","B","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","Mountain Time (US & Canada)"
"positive","E","United","Jerusalem"
"positive","D","United","Jerusalem"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Hawaii"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Amsterdam"
"positive","D","United","Quito"
"negative","B","United","Quito"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Quito"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Quito"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Hawaii"
"positive","D","United","Alaska"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Quito"
"neutral","C","United","Pacific Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","A","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","London"
"positive","D","United","Atlantic Time (Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Amsterdam"
"positive","E","United","Atlantic Time (Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","London"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Paris"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Mountain Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","London"
"negative","B","United","Eastern Time (US & Canada)"
"negative","A","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Quito"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","E","United","London"
"negative","B","United","London"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Guam"
"positive","D","United","London"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","London"
"positive","E","United","London"
"positive","E","United","Pacific Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"neutral","C","United","Hawaii"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","London"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","London"
"positive","D","United","New Delhi"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","New Delhi"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Hawaii"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Arizona"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"neutral","C","United","America/Chicago"
"negative","B","United","Mountain Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","E","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"neutral","C","United","Central America"
"positive","D","United","Eastern Time (US & Canada)"
"negative","A","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Berlin"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"neutral","C","United","Pacific Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","London"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Mountain Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"neutral","C","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","E","United","Mountain Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Mountain Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Atlantic Time (Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","E","United","London"
"positive","E","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","E","United","Central Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"positive","D","United","Santiago"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"neutral","C","United","Quito"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"negative","B","United","Pacific Time (US & Canada)"
"negative","B","United","London"
"neutral","C","United","Alaska"
"positive","E","United","Pacific Time (US & Canada)"
"positive","D","United","Atlantic Time (Canada)"
"positive","E","United","London"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Arizona"
"positive","D","United","Mountain Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"neutral","C","United","Central Time (US & Canada)"
"negative","B","United","Madrid"
"positive","D","United","Central Time (US & Canada)"
"positive","E","United","Eastern Time (US & Canada)"
"neutral","C","United","Pacific Time (US & Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
