tweet,sentiment,latitude,longitude,airline,timezone
@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.,negative,40.69943599,-74.17868875,United,London
@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,negative,40.6992418,-74.17884798,United,London
@united of course I did. The bag should be here by now :( #frustrated,negative,28.62111274,-81.29294408,United,Eastern Time (US & Canada)
@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines,negative,40.69814396,-74.17906717,United,London
@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,negative,39.85790482,-104.67039013,United,Central Time (US & Canada)
"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around",negative,39.85799572,-104.67056217,United,Central Time (US & Canada)
@united i think he actually did not like your screen  @campilley 😃😃😃,negative,51.72050559,8.72711201,United,Athens
@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.,negative,29.7420124,-95.5606921,United,America/Chicago
"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",negative,40.6875448,-74.17714813,United,Eastern Time (US & Canada)
@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap,negative,29.7421541,-95.5600896,United,America/Chicago
"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence.",negative,41.97745295,-87.91025951,United,Eastern Time (US & Canada)
"@united I will do delayed baggage claim when I land. Hopefully the bag isn't broken into, damaged or lost w/c will result in more complaints",negative,41.97475934,-87.89040377,United,Stockholm
@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better,negative,41.97474769,-87.89039148,United,Stockholm
"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",negative,41.97758466,-87.91065356,United,Eastern Time (US & Canada)
"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!",negative,29.98788997,-95.34470061,United,Pacific Time (US & Canada)
@united noooooooooooooooooooooope.,negative,45.52146907,-122.69810485,United,Central Time (US & Canada)
@united How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!,negative,41.97495038,-87.89005988,United,Stockholm
@united it won't help...been there done that.,negative,29.98877308,-95.33846478,United,Central Time (US & Canada)
@united I've got a campus visit in an hour and I'm still wearing the same clothes...,neutral,45.67920767,-111.04847652,United,Eastern Time (US & Canada)
@united funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool,negative,33.64323551,-84.44248239,United,Central Time (US & Canada)
@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS,negative,39.24541389,-106.88172648,United,Sydney
@united I am impressed with your super-fast reply to @CGJase,positive,20.0615871,110.18390431,United,Beijing
@united You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,negative,39.84911904,-104.67447584,United,Sydney
@united does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter,negative,36.08161548,-115.14959772,United,Central Time (US & Canada)
@united UA1469. Just landed.,neutral,27.9746606,-82.5320172,United,Atlantic Time (Canada)
@united compensate us for new clothes bet you won't,negative,45.67922537,-111.04823044,United,Eastern Time (US & Canada)
@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams,negative,45.67922693,-111.04839797,United,Eastern Time (US & Canada)
"@united I tried the online tracking and they said something like \\""attempting to locate luggage\\","\""negative""",45.67925887,-111.04844481,United,Eastern Time (US & Canada)
@united your worker told us not to call because we'd be talking to someone in Thailand...,negative,45.67912434,-111.04847959,United,Eastern Time (US & Canada)
@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge,negative,33.94077727,-118.39921036,United,Pacific Time (US & Canada)
@united is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline,negative,29.9866693,-95.3382794,United,America/Chicago
@united CDG-LAS 42 hours. And my luggage is in SFO. I've been wearing the same clothes for 42 hours. Thank you. #flythefriendlyskies,negative,36.08655568,-115.1394417,United,Paris
@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise,positive,38.95201335,-77.44443882,United,Pacific Time (US & Canada)
@united is synonymous to with #rude. And #cheap. You really don't know how to value the customer,negative,47.4390828,-122.300713,United,America/Chicago
@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,negative,47.4389994,-122.3010208,United,America/Chicago
@united so unhelpful... http://t.co/vBfIeo2qJC,negative,39.85861469,-104.67233425,United,Eastern Time (US & Canada)
"@United says we had a weather delay in #YXE this morning. The \\""weather\\"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx",negative,39.85873319,-104.67372668,United,Saskatchewan
"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",negative,37.83520596,-122.25460611,United,Pacific Time (US & Canada)
@united flight 5903 stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.,negative,41.97862209,-87.91469774,United,Eastern Time (US & Canada)
@united will do. Just need to get CVG.... and my bag too. Thanks,positive,41.97456785,-87.90563774,United,Atlantic Time (Canada)
"@united just touched down in Miami - not too far off , Nicely done united 👍",positive,25.79104444,-80.27338351,United,Central Time (US & Canada)
@united who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF,negative,39.99829207,-82.88085401,United,Pacific Time (US & Canada)
@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi,negative,39.99814659,-82.88058383,United,Pacific Time (US & Canada)
"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",negative,38.94562938,-77.44400264,United,Paris
@united with about 25 people trying to get on flights,neutral,29.98872603,-95.3384666,United,Central Time (US & Canada)
@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,negative,29.98870677,-95.33845443,United,Central Time (US & Canada)
@united why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/,negative,40.6941088,-74.17545854,United,Central Time (US & Canada)
"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers",negative,39.99806982,-82.88439575,United,Pacific Time (US & Canada)
"@united Seat 14A, Flight UA895",neutral,22.31355693,113.92636768,United,Pacific Time (US & Canada)
@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550,negative,37.61980156,-122.38447633,United,Pacific Time (US & Canada)
@united - you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!,negative,33.94171725,-118.39844033,United,Pacific Time (US & Canada)
@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.,negative,34.99254864,-80.92841859,United,Eastern Time (US & Canada)
@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,positive,37.61829369,-122.39192247,United,Alaska
@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,negative,37.61839686,-122.38751,United,Pacific Time (US & Canada)
@united boarding a #plane would be much faster if you boarded back to front instead of front to back #MakesSense #efficiency #travel #flying,negative,37.61926072,-122.38812564,United,Pacific Time (US & Canada)
"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH",negative,38.95638224,-77.43898845,United,Pacific Time (US & Canada)
"@united Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm.",negative,35.07067492,-80.7899648,United,Eastern Time (US & Canada)
@united Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!,negative,43.60417384,-110.7362561,United,Sydney
@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.,negative,39.85760174,-104.66669625,United,Pacific Time (US & Canada)
@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,positive,26.07294988,-80.14147128,United,Eastern Time (US & Canada)
@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed,negative,35.00096266,-80.87374938,United,Eastern Time (US & Canada)
"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.",negative,35.00595547,-80.89437239,United,Eastern Time (US & Canada)
@united thanks,positive,19.43010575,-99.18988829,United,Central Time (US & Canada)
@united A broken luggage and a mild case of food poisoning from UA5 LHR-IAH. Who can I email about this?,negative,19.41622708,-99.16143525,United,Central Time (US & Canada)
@united No wonder the cabin is filthy. #badservice,negative,37.61782989,-122.39172299,United,Pacific Time (US & Canada)
"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, \\""not with my hands!\\"" #badservice",negative,37.61761896,-122.39164663,United,Pacific Time (US & Canada)
@united that's a crazy long form! You need something other than a video?,negative,40.72476892,-74.09204213,United,Central Time (US & Canada)
@united I hope not to see the same issue on my return flight tomorrow,negative,18.47066766,-68.40014139,United,Eastern Time (US & Canada)
@united already DM you my concern. Pls check.,neutral,31.27777976,121.59340615,United,Pacific Time (US & Canada)
"@united Your new mileage policy is awful. Before, I might have paid slightly more for United because of miles. Now there's no difference.",negative,40.73074756,-73.95248962,United,Eastern Time (US & Canada)
@united 14 hours after landing in #ATL &amp; I still do not have my bags...which means no clothes or makeup!!! #UnitedAirlines #nothappy,negative,33.89611413,-84.33113356,United,Eastern Time (US & Canada)
@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,negative,33.89638659,-84.33108377,United,Eastern Time (US & Canada)
@united Extremely disappointed in #Flight6831. United left crew and pssgrs stranded in rain @ gate with no cover. Left Psngrs 2 depart plane,negative,25.08347991,-77.3225763,United,Central Time (US & Canada)
@united  no thanks,neutral,42.3613256,-71.0167387,United,Quito
@united Very impressed so far. An app that's worth a damn and sms updates on my flight.,positive,39.74529398,-104.99225976,United,Mountain Time (US & Canada)
@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,negative,18.47240961,-68.39941149,United,Eastern Time (US & Canada)
@united have you inspected the picture? routine aircraft check while on his cell phone? What will the FAA &amp; NYT say ? http://t.co/bNgpli8JT6,negative,18.4729405,-68.39820768,United,Eastern Time (US & Canada)
@united while busy on his cell phone ???,negative,18.47233225,-68.39941165,United,Eastern Time (US & Canada)
@united First Officer of UA 1514 checking our 757 prior to departure from EWR yesterday while on his cell. Safety ??? http://t.co/1TFH2v0a7z,neutral,18.4710809,-68.39995916,United,Eastern Time (US & Canada)
@united I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.,negative,29.81532281,-95.40830048,United,Central Time (US & Canada)
@united provide a voucher for one of my customers and I will tweet about you all day long #earnedmybusiness,positive,41.9413787,-87.8932425,United,Central Time (US & Canada)
@united stellar customer service. You have earned my business by your attention to detail.,positive,41.9808176,-87.9063373,United,Central Time (US & Canada)
@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler,positive,41.9809313,-87.9063148,United,Central Time (US & Canada)
@united no. U guys suck. I'll never fly with u again. And ur supervisors suck too.,negative,33.99585652,-117.35791469,United,Pacific Time (US & Canada)
@united They held the plane! Made it!!,positive,33.94238375,-118.39906416,United,Eastern Time (US & Canada)
"@united ok, have sent u info via DM. I appreciate your help and consideration. 😊",positive,41.86591706,-87.6231238,United,Central Time (US & Canada)
@united I had planned to book additional flights tonight but after 1 1/2 hrs working on one trip I'm worn out! #EnoughIsEnough,negative,41.86590405,-87.62282728,United,Central Time (US & Canada)
@united your system is down and after being on hold for over 20 mins -Mia tells me she is going to charge a Flight Booking Problems fee?! Customer service?,negative,41.86589387,-87.62303178,United,Central Time (US & Canada)
@united On last flight of the day no less. I am now driving 4 hours to Aspen thru a snowstorm Thx to your teams lack of customer empathy,negative,39.77848558,-104.90007634,United,Eastern Time (US & Canada)
@united Yes there were PLENTY of seats available.  So why did Vicky Thomas refuse to give one to a million mile flyer?,negative,39.77390684,-104.84537303,United,Eastern Time (US & Canada)
@united Also your at-gate monitor showed 23 empty seats,negative,39.83426941,-104.69960636,United,Eastern Time (US & Canada)
@united That is not what your reservations desk just told me.  They said there were plenty of seats,negative,39.83426941,-104.69960636,United,Eastern Time (US & Canada)
"@united very exasperating I'm having a difficult time with Flight Booking Problems as the error message says you're undergoing maintenance. Really, now?",negative,41.86591215,-87.6231126,United,Central Time (US & Canada)
@united no I did not make connection.  Your stellar employee Vicky Thomas refused to board me even though 23 empty seats on plane,negative,39.84913886,-104.67403666,United,Eastern Time (US & Canada)
@united it most certainly was not.,negative,40.71857786,-73.99426076,United,Mountain Time (US & Canada)
@united when a 2 hour flight turns into a 3:30 ordeal...sigh,negative,29.98498519,-95.3338971,United,Atlantic Time (Canada)
@united Then why did your staff refuse to let ME on the earlier flight citing my having checked a bag?!?!,negative,40.71518191,-73.99595593,United,Mountain Time (US & Canada)
@united Yes I needed plenty of assistance but received none.,negative,38.26810946,-82.12153441,United,Alaska
@united you suck. @SouthwestAir you're the best.,positive,37.61476852,-122.40521688,United,Arizona
"@united &amp; on top of no free tv on the int’l leg, now I’m sitting on the Tarmac in Houston, 70 min past departure w/ another hr plus to go",negative,29.98384194,-95.33664018,United,Eastern Time (US & Canada)
@united any chance you'll ever do CPUs on your JFK-LAX like @AmericanAir?,neutral,40.64993239,-73.78249589,United,Eastern Time (US & Canada)
"@United flight experiences R often frustrating, but 2day on UA5184 from CHI to WPG flight attendant April was #amazing! She's 1 of the best!",positive,49.73717309,-96.67646776,United,Central Time (US & Canada)
"@united incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd.",negative,29.98454639,-95.33856899,United,Alaska
@united how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs,negative,41.9653255,-87.87535719,United,Mountain Time (US & Canada)
@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail,negative,37.78736562,-122.40865161,United,Eastern Time (US & Canada)
“@united: @d_goodspeed We will follow up with our Maintenance team. Thanks for the tweet. ^KP” THANK YOU!  United Cares!,positive,33.63992689,-84.44705534,United,Central Time (US & Canada)
@united just landed. Might want to check flight 304 plane from Houston. That sound was during takeoff &amp; landing http://t.co/QKquRagGoO,negative,33.64314381,-84.44252134,United,Central Time (US & Canada)
@united your customer service is crap.,negative,42.37525611,-71.24042938,United,Eastern Time (US & Canada)
Thank you @united for your prompt assistance.,positive,43.68346133,-79.61394084,United,Eastern Time (US & Canada)
@united thanks for more timely updates.,positive,45.58977875,-122.59182952,United,Central Time (US & Canada)
@united your website is a complete joke when using safari!,negative,28.34834331,-81.48581918,United,Eastern Time (US & Canada)
@united how is it tripitPro has accurate delayed dept. times and 2hours Late Flightr I hear the same from you? Just curious,negative,45.58986727,-122.59182577,United,Central Time (US & Canada)
"@united boarded 6373 on time, deplaned, and now 100 minutes delay. No transparency during. Can't wait to give up my gold status for AA.",negative,37.6202411,-122.3883092,United,Quito
@united good fly!! #United #businessFirst,positive,29.98445184,-95.33224657,United,Central Time (US & Canada)
@united or you'll Cancelled Flight my flight like you just did,negative,37.62025528,-122.38832698,United,Central Time (US & Canada)
@united I'll be impressed if I actually get a response! 😜,neutral,37.78194753,-122.43412918,United,Pacific Time (US & Canada)
"@united here is my case id 8473573. Requested on 2/5, now it's 2/19... 7-10 days I'll get a response, BS!",negative,37.78508121,-122.41114577,United,Pacific Time (US & Canada)
@united what is your plan to reduce delays?,neutral,40.71288929,-74.16612474,United,Alaska
"@united nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course",negative,40.68612449,-74.18465897,United,Central Time (US & Canada)
@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,negative,40.69522398,-74.1760931,United,Alaska
@united what do you have in mind?,neutral,37.6205514,-122.3867929,United,Eastern Time (US & Canada)
@united I'm over you. Evry 1st flight I take w/ you is delayed &amp; evry 2nd is on time so its missed evry time. #lastflightofthenight #breakup,negative,40.69482181,-74.17458032,United,Alaska
@united it is cool. Your customer told me they didn't care either. It is expected,negative,37.6209902,-122.3867265,United,Eastern Time (US & Canada)
@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞,negative,37.6208766,-122.3867929,United,Eastern Time (US & Canada)
@united stuck on Tarmac for the last hour. Can I have a beer?,negative,40.6867848,-74.18351089,United,Central Time (US & Canada)
"@united @HiltonWorldwide @Caravannyc @MaysvilleNYC 
Let's go! Join me on my first trip back to NYC…as a tourist: 
http://t.co/egaEjtRGLb",neutral,34.06143413,-118.39787418,United,Eastern Time (US & Canada)
@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X,negative,38.94549594,-77.45193731,United,Eastern Time (US & Canada)
@united Leaving soon. Thanks!,positive,40.77395906,-73.8746932,United,Eastern Time (US & Canada)
@united - blamed weather lol 78 no wind and not a cloud in the sky!! Delayed both ways 4x!! RU kidding me to charge me for 1.5lb w/8 delays?,negative,37.63404103,-122.40313084,United,Eastern Time (US & Canada)
@united smiling? NOT!!,negative,35.23908248,-120.64078264,United,Eastern Time (US & Canada)
"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!",negative,35.23896405,-120.64046203,United,Eastern Time (US & Canada)
@united pleasantly surprised with quality of service and flight.Flew LGA-CLE-DEN. Friendly crew. Love the concept of #byod #worksnicely,positive,40.71517211,-74.01453422,United,London
@united needs to pay for my car. I could have been on my flight if 4 help desks did not say it already left. Shame.,negative,37.61907,-122.38607,United,Pacific Time (US & Canada)
@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.,negative,37.61821986,-122.38745399,United,Pacific Time (US & Canada)
@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:),positive,35.8924655,-84.19243176,United,Eastern Time (US & Canada)
@united you need to follow me I order for me to DM....,neutral,34.06979432,-117.57757056,United,Central Time (US & Canada)
@united I live abroad and am Flight Booking Problems flights for when I come visit the states :(,neutral,13.71241507,100.60468537,United,Wellington
@united loses my luggage and @hotelstonight loses my reservation. after a 10 hour travel day. I just want to get to @StartingBloc in the am!,negative,34.06978184,-117.57752166,United,Central Time (US & Canada)
@united oh flight was fine. my lost luggage? not so much. looks like I'll be at least a half day Late Flight to my conference in Santa Monica...,negative,34.06071437,-117.59814212,United,Central Time (US & Canada)
@united done as requested.,neutral,1.3523078,103.8637764,United,Singapore
"@united @VUSA_Australia I'm just an Aussie cowgirl lookin' for my cowboy. Take me to Fort Worth, Estelle says I'll find him there!",neutral,-33.87144962,151.20821275,United,Hawaii
@united this is not what captain said! Your 820pm flight to San Francisco is delayed due to weather. UA1416 now departs ....#failagain,negative,41.97826134,-87.91247425,United,Pacific Time (US & Canada)
@united sprinted from C concourse to E and just made it. Coughed up a lung in the process but am now in CLT! Tnx!,neutral,35.21498347,-80.96071981,United,Pacific Time (US & Canada)
@united Flight 280,neutral,40.74389886,-74.12493599,United,Eastern Time (US & Canada)
@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon,positive,29.98425706,-95.34407392,United,Eastern Time (US & Canada)
@united there are at least 3 of us on UA1564 at ORD waiting to deplane to catch UA4232 to CLT. Any chance of waiting to last second for us?,neutral,41.98084325,-87.90939435,United,Pacific Time (US & Canada)
"@united yes, supposed to be here by 6PM. I have a Board Meeting tomorrow. Fingers crossed.",negative,33.5089001,-112.02901444,United,Central Time (US & Canada)
@united this may be the last time I fly your airline.,negative,38.94494175,-77.45367931,United,Central Time (US & Canada)
@united. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver,negative,39.85823091,-104.67802376,United,Quito
