"Response","tweets"
"positive","   online games       e onlinegames  com       play number of free  online  games    action   sports   puzzle    https   t co thkq9ylgfz"
"negative","apple event is on    https   t co apoyg8ppqv  lowest prices on apple products   iphones from  169  apple tvs  124   https   t co cgacukgyme"
"neutral","how to use airpods with android https   t co rsea4bnwf8  osx  ios  mac  iphone  ipad  tips  amp   tricks"
"positive","rt  katzdzynes  purple white school  volleyball team colors girly  otterbox  iphone x  case https   t co 4j6jqebgrx"
"positive"," iphone 360 full protection casing for iphone 5 5s http   phone accessories      https   t co kqkerrayen https   t co lsq2lpjito"
"positive","newly released iphone  amp  ipad apps   april 8  2019 https   t co fuza91j965  apps  deals  new  sale  free  iphone  https   t co epxsmd8pic"
"positive","cat6 patch cord 6 ft https   t co g87uptnwkc  imexx  new  florida  ventas  cables  audios  iphone  gadget  tech  https   t co powrplgkou"
"negative","one of many little known  iphone features  https   t co l8gmeelmzk"
"negative","rt  casey02042316  buyback icloud locked iphone  whatever it has any problem    badlcd  aftermarketscreen  nopower  waterdamage  missinglcd "
"positive","rt  techinrl  airpods user guide and tutorial   updated for ios 12   part 4  daily user tips  and bonus tricks  https   t co byyfxfc4sd  ai "
"neutral","short circuit on arc driver in iphone 7 plus         logicboard  phonetech  digitalforensic  iphone  ipad  https   t co 1wd8esuesz"
"neutral","rt  ongliong11   wallpapers  homescreen  lockscreen    wallpaper    iphonexsmax     iphonexr     iphonexs     iphonex   iphone    ongliong1 "
"positive","new  apple  iphone promotions at  sprint for april and may 2019  free iphones   150 prepaid mastercards  and more   https   t co g9hp1czf9k"
"positive","which of these updates are you most excited for with the new ios   apple  iphone  tech  ios  siri  airpods https   t co lramq1gv7s"
"positive","pizza jump  free now on  itunes  ios  iphone  pizza  appstore  games  indiegames  gamer  indiedev  https   t co dcillalrrs"
"neutral","two workarounds to delete multiple apple contacts at once https   t co izzuykejwr  iphone"
"positive","   nowplaying hanson   i will come to you from  tobiasvariano s  iphone by briptu rn ldd   music  polisi  cop  https   t co 4yhfxutiny"
"neutral","rt  wallsbyjfl   created by jfl  all formats  https   t co if2ulovkon  all walls  https   t co kle5ubpicb   homescreen  android  ios  iphon "
"positive","we would like to wish you an amazing day  make every minute count  tls  today  iphone  accessories  news  life  https   t co eipujybltf"
"positive","         brighton                       fun  live  love  instagood  brighton  photomaton  best  kiss  frenchkiss  https   t co 46ewo3tpgx"
"positive","also about to poly this one as well    finish  well  soccer  almost  home  isuzupup  wood  coke  pepsi  namaste  https   t co meyl0g0kve"
"neutral","how many  faces  can you find   disneylandparis  disneyparks  disneylandpark  disney  pinocchio  restaurant  https   t co h7ckorb2x0"
"positive","dental dream tooth  iphone xtreme tough case https   t co fsew1hb5gu via  thecatinblack  shopping  family https   t co idwsudb0vk"
"positive","r sole https   t co 7xk6cz5umu http    www redbubble com people what a shocker    tshirt  iphone  gift  birthday  redbubble"
"positive","my dog tracker and diary  app  ios  iphone  free pet training  health  amp  shots    free in the app store https   t co yp9ystigf2"
"positive","the best  iphone apps available right now  april 2019  https   t co nfwlmuwqhb"
"positive","in the end  i personally think that i will never upgrade from my  iphone6splus  i don t care if it cannot upgrade t  https   t co kuqsedzjpc"
"negative","lots of  youtubers  are bashing apple lately  lots of negativity coming from these people  if you ignore these peop  https   t co dsndxo0y14"
"neutral","what to do when your toddler disables your ipad for 47 5 years    insanenews  apple  ipad  ipadmini  iphone  https   t co j6l1btjb8n"
"neutral","i use this app all the time to scan in documents  manuals  recipes etc  it turns it into a  pdf that you can email  https   t co n6sby6xit2"
"positive","vice featuring mike taylor   world is our playground   splash365   the internet s best variety         https   t co xdztijtkaf"
"positive","poly on    looking  good  time  want  you  food  party  hi  namaste  yoga  pepsi  coke  whatwedew666  king  kregjig  https   t co jbjm3xdfrb"
"positive","rt  brieggers  biggest mistake ever was upgrading my  iphone  been on the phone all day with  applesupport because my new phone wants multi "
"positive","hey  ios  developers  i m a new  iphone user interested in learning  swift programming  i m now  blind  amp  using  https   t co 2rz825dzil"
"negative","help for  google  search  not working on my  iphone https   t co dhuhdm0vjq https   t co fn4tjxkoeo"
"neutral","                               1             while it s raining for 1 hr  but my iphone weather s app  forecase lik  https   t co wgov25unji"
"positive"," sell iphone 7 plus  new    128 gb   color available  silver and gold and red and black    last price  12 000  l e  https   t co cvaetludts"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co ybn10o7hip"
"positive","  nail      beautifulpeople  photo  nail  girl  hair  makeup  followme  cute                                    https   t co 3am3dhvmjf"
"neutral","it s april 08  2019 at 02 00am  still looking to  unlock  gsm  phone  xsmax xs xr  unlockfusion  unlocks  apple  https   t co mj9bqjyihl"
"positive"," iphonecase  iphone  apple  smartphonecase cute summer fruit pineapple blu ray iphone case just  15 22 https   t co iuv8ujedzo"
"neutral","future  iphone https   t co s6qkx7afwa"
"positive","applemusic  apple  news  iphone  ipad  ios9 3  beta1 whatsapp business app expands to iphone https   t co nh0wqliqze"
"negative","2 students in oregon returned thousands of fake iphones sent from china   which apple would replace with working ip  https   t co tirjewbvew"
"neutral","broken iphone screen  no problem  we can fix that   mobilemendz  iphone  brokenscreen  iphonerepairs https   t co k7f7jayvh8"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co vtbg2lowup"
"neutral","64gb apple iphone x for  699 at gazelle  no contract  30 day return   apple  iphone  iphonex https   t co 7zwwxoyxxm"
"positive","https   t co q5xejhrkb7 stickling   sticker  maker  studio for the personal touch of your romantic chats  download  https   t co xt89szf8tz"
"positive","i have reached 29 level  i got  134000 and  4  https   t co 6cfbic8rui  gameinsight  iphonegames  iphone"
"neutral","sushi night  unilodgeaust  unilodge  studynt  boundlesspossible  darwin  australia  northernterritory  sushi  https   t co pfx2vios6l"
"positive","dear  apple  the numbers and emoji buttons are switched between landschape and portrait mode  why   apple  iphone  https   t co xnhcg3l5vo"
"neutral","during the first live  iphone presentation   stevejobs had to frequently switch phones behind his desk  otherwise   https   t co q2psl35leb"
"positive","what will you do with the new coming  applecard       gs  appl  iphone  survey   https   t co kcary2pc6n"
"positive"," giveaway   ipad  tahrir app   text on image    2 99 to free  on https   t co vgnwc0ugpg get the paid app for  free  https   t co v6gwdsbfix"
"positive","win an  iphone xs max   1 249      open worldwide        free  win  sweepstakes  giveaway  contest  sorteo  https   t co ctwl7w8pvi"
"neutral","6 string bass guitar bathroom selfie   why   why not     bass  bassguitar  guitar  music  6stringbass  music  https   t co wsvalaxvqe"
"negative"," rt  iphone  wallpapers  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds   goo  https   t co etnxzrhkm1"
"positive","might switch back to  apple iphone  xs looks convincing  still having my  madebygoogle pixel 2  should i transfer o  https   t co f17zwpphky"
"neutral","price drop   yankai s triangle  on sale for  iphone  ipad  2 99  gt  gt   0 99 https   t co qzis4sozrx https   t co 507ns94n8b"
"positive","zombie fortress  dino   out now  download and play for iphone ipad now and play for free    copy quick link below   https   t co lrywvdphiw"
"positive","sim unlock  sprint  boost  att  tmobile iphone x 8 7 6  neterair  iphonex  iphone  swiftunlock  iphonex  unlockcode  https   t co 4ywgwwtr0v"
"positive","rt  digitaltrends  the best  iphone xs screen protectors https   t co yicfkf8fio"
"positive"," apple poaches another  ai expert from  google for its  special projects group https   t co 5g2bntzffp via  https   t co cevrvujqiy"
"positive","pretty  iphone  walking https   t co gureaf3q5y"
"neutral"," the wardstone trilogy  on  goodreads https   t co bta63gmebn  bookreviews  iartg   iphone  ipad  snrtg   rt"
"positive","florida power  amp  light is set to build the world s largest  solar powered battery  the capacity is the same as 100 m  https   t co y5xc2d2k5v"
"positive","the avanco hear   affordable bluetooth hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  https   t co bcyxf7mkql"
"positive","what s the best twitter app for iphone    9to5mac https   t co kco5cldapd via  googlenews  apple  twitter  tech  https   t co dwydvvsdve"
"positive","as we continue to emerge  let us design  scale  and implement  methodologies that will increase your organization s  https   t co 6mcfx3hrhm"
"positive","rt  oktopolisart    warning   be prepared to receive endless compliments when you upgrade to this phone case by  oktopolisart  amp   hificolor "
"negative","two students allegedly cheated apple out of nearly  900 000 in fake  iphone scheme   npr https   t co a1immnikjx https   t co uxlvzebgvb"
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co hxsbbfne0c"
"positive","rt  forestanonymous  another great game that is amazing with  gamevice us  spacemarshalls2   if you don t wanna wait for  nintendoswitch po "
"neutral","rt  hk3ton   wallpapers  iphone  geometric  lockscreen  apple  abstract  devices  homescreen  geometric  wallpapers for        iphonex "
"negative","buy proverbs trivia quiz for  iphone  amp   ipad  itunes  appstoregames https   t co 27gobza3is  chupamobile by  saappsofficial"
"neutral"," path  lvmh  chevalblanccourchevel  courchevel  courchevel1850  3vallees  bouquinpork  photography  iphone  physio  https   t co e7my4emsrj"
"negative","rt  steveocook  the final night at dukes  shoot pool   aylesbury the last bands to play towers of london screamin  irene number 38 and teva "
"positive","elegant and colorful austrian crystal fashion jewelry set iksmarkets   things and more shop    https   t co kaj7lvd0oc"
"positive"," google has finally planned to introduce what  iphone users were enjoying for years    https   t co fvho5nnd8a  https   t co fugz6dr1ij"
"positive","intel scoffs at report that its 5g modems won t be ready for apple s 2020 iphone lineup https   t co 1kcnd36dj3 via  https   t co aqeaxazajb"
"positive","      rip king       kingcrowley  king  kushking  ink  iphone  loud  loyalty  pothead  producer  photooftheday  https   t co g2zwqr09x2"
"positive"," release item    rottencity iphone case   color   gold silver red size   6 6s 7 8  x  price   3 800  tax out       https   t co mfpyvrktqq"
"positive"," lottery  iphone amazing lotto app   this is awesome app  lottomega https   t co ud1avjmnua"
"neutral","rt  thestellaprize  a short  iphone video grab of louise swinn  chair of the  2019stellaprize judging panel  discussing this year s shortli "
"neutral","how to change siri voice on mac to different gender or accent https   t co fvbhoiva3r  osx  ios  mac  iphone  ipad  tips  amp   tricks"
"neutral","138 users just unfollowed me  via  findunfollower https   t co athsexspam   iphone  app"
"positive","price drop   your gps location finder   on sale for  iphone  ipad  1 99  gt  gt  free https   t co pwl4zidvu5 https   t co ql4dardcdl"
"positive","check out new sketchers universal sweat proof armband    iphone https   t co ytbdiiweyw   ebay   summer  love  https   t co kxexv9i4ie"
"positive","how does it work  quite easy actually  as it does most of the hard work for you   googleduplex  google  iphone  https   t co aud334hjhi"
"positive","test your love   https   t co tglgk6x1zm  itunes  love  apps  lovetest  funny  fun  iphone  ipad  newapp  ios  https   t co 6gus30akbq"
"positive","more ios texting packs coming tomorrow   be sure to check out the new ones listed in the app store today  https   t co 791preqyyj"
"neutral","rt   korke   tweak   glacier    give the ios cc a transparent ui     no settings  condition     100  work    iphone 6s  ios 12 1 2   jailbr "
"negative"," android smartphones haven t beaten the  iphone but are narrowing the gap  suggests cowen analysts  with  huawei an  https   t co 0nwcqk4o8p"
"positive","the incredible shrinking apple  yeesh  via  theloop  iphone https   t co 4ohu98muen https   t co qogoqv1unq"
"positive","did you know  your  iphone has a  magnifier to help you see things better   https   t co kfusr7m3bc"
"neutral","display comparison between galaxy s10 plus and iphone xs max  samsung  galaxys10plus  iphone  iphonexsmax https   t co 3850pwo7ee"
"positive","did some tech support for my neighbor  she just needed the ink in her printer changed out  it was pretty easy for m  https   t co xh9tzvmuge"
"positive","rt  gaultierchantal  dear  americans  it is not time to prepare for  easter celebrations  nor to sit in front of the tv  or buy a new  ipho "
"positive","what is the deal   iphone  data https   t co xmmftnauaf"
"positive","how to buy the best iphone spare parts  gt  gt  gt  https   t co q95telakqz  iphone  iphonerepair  iphoneparts  iphonexs  https   t co fwp1k0e8oc"
"positive","me trying to explain to myself the ending of  the oa absolutely brilliant stuff  probably a 2 year wait  for season  https   t co 0bfgkfce64"
"positive","25 best free  iphone apps for business https   t co pqwodpvawy  social  marketing  productivity"
"positive"," cacoteoradio la primera emisora de reggaeton en linea a nivel mundial 24 7    visit https   t co 85q6anhlc8 and hi  https   t co x3llszzecj"
"neutral","frank robinson s  20 on device cases  shirts  hoodies  bags   stickers  amp  more   orioles  baltimore  birdland  https   t co t6qlxfrmie"
"negative","applemusic  apple  news  iphone  ipad  ios9 3  beta1 wsj  apple music has overtaken spotify in u s  paid subscribers https   t co 1rvbzxx9pf"
"positive","thanks for following us on twitter  check out our app page   https   t co v1kwptazw0 to see our new apps  freeapps  https   t co urrrbb6exo"
"neutral","health     iphone activity  thursday april 4 walking  running     steps distance  flights    climbed for erica n  f  https   t co 6309kwne6u"
"negative","nowplaying   broke for free   as colourful as ever  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"negative","play hipster  hangman with  friends   games  blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co uboo9b2tzi"
"positive","on my  ios  iphone  having the ability to compile  swift code is therapy for my  blindness  just coding  amp  enhancing  https   t co roxzzgore7"
"negative","omg i just learned i can  type 0  c now   the little   is hidden on 0 long press  had no idea all this time  iphone"
"negative","ok  so i left my office with minimal gear  since i knew i would be back early  unfortunately this did not include  https   t co jxnkxal4if"
"neutral","rt  key2le  starting today   orange is offering the blackberry  key2le in champagne  grab the exclusive 64 gb dual sim version at the link "
"negative","legacy family tree webinars   no purchase necessary  free genealogy tools for your ipad iphone https   t co wmu2fxg2tj  genealogy  iphone"
"neutral","coffee and writing seem to go hand in hand   writersofinstagram  writing  writingcommunity  writersblock  coffee  https   t co 8sd7n6fg0g"
"positive","20  off storewide software w  code at  imyfone  all  imyfone  softwares  amp   apps on  cleaner   itunes repairer   https   t co kt83vec6q7"
"neutral","i m probably the world s 1st  blind person that bought an  iphone exclusively for  ios  swift development  ha ha ha   d"
"positive","fri yay photoshoot with the best girl     kimber  adventureswithkimber  dogsofinstagram  iphone   platte city  miss  https   t co cqejzd6np6"
"positive","buy tik tak toe pro   turn based family game https   t co 1dyem9bvpo for  iphone  amp   ipad  itunes  appstoregames  https   t co 7joj0mw4qu"
"positive"," giveaway   ios  ijumper  99c to free  on https   t co kzsfh9x39l get the paid app for  free  today only  iosapps  https   t co gnznybeowj"
"negative","do not know how to download apps over 150mb or 100mb without wifi on iphone  here s the trick for you    https   t co 9atejrupqa"
"positive","during my presentations i share with the audience i practically work from my phone 80 90  of the time  i get snigge  https   t co uewd4cx3h9"
"positive","love fish  get  geometric  fish  stickers   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co gif8txxpcy"
"positive","win an hp sprocket plus to print your mobile snaps on the go       enter here   https   t co ads9yd8oxs     comp  https   t co qbl9fr3zef"
"neutral"," apple  iphone 8 plus  at amp t  64gb   space gra    by apple computer for  669 00 https   t co eazvrvjvsb"
"negative","my delayed flight is just teasing me as it sits on the tarmac   to top it off  the bar in the airport can t deal al  https   t co qurb3zcesj"
"positive","oregon engineering students from china  made almost  1million by claiming 1 500 fake iphones didn t work so they co  https   t co rbwxfzqftl"
"neutral","rt  whatsdadeal2  4 pack of apple certified braided iphone cables                                get it for  8 40       1  go to  gt  https    "
"negative","rt  kevinfeeds   apple xs max on verizon dropping calls constantly  on third phone  even though many others complain about this sane issue  "
"negative","rt  waterpediawiki  here is a breakdown of revenue streams of largest technology giants like  apple  amazon  alphabet  google  microsoft  w "
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co 7joxyprxni"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co x5f2wqwad8"
"positive"," birmingham  gasstbasin  city  boats  canal  narrowboat  reflections  iphone   birmingham  united kingdom https   t co 9mou5v2ryh"
"positive","rt  transunitynow  introducing our  free  transgender  dating  app for  android  https   t co 7qp2u3xsvp  android  iphone  ios  samsung  sm "
"negative","dns  cloudflare warp vpn explained in tamil https   t co pnfwnjszxn   apple  iphone  ipad  tech  tamil  cloud  https   t co xn8andsak5"
"positive","30 amazing steve jobs quotes to motivate you https   t co 0i72x3rkqe via  imbhawnak   stevejobs  timapple  apple  https   t co pldu8ec8rs"
"positive","rt  rossaliena  i didn t dream it  it really happened      instagood  in  travel  photography  iphone  reflection  my  motivation  goodvibe "
"negative"," apple cuts  iphone prices in china https   t co o2qhcimiqa"
"positive","how to save space on your  iphone by getting rid of all the clutter https   t co zhl7ohfakk  tweet4mee"
"positive","i m so glad to have 128gb of memory on this  iphone  my last 64gb iphone 6 was down to it s last gig  ha  no more  https   t co voukv6efnu"
"positive","rt  techinrl  airpods user guide and tutorial   updated for ios 12   part 4  daily user tips  and bonus tricks  https   t co zhyn2ietum  ai "
"negative","amazing they i am sure did not think they would get caught     collegestudents busted for making  900k in  iphone f  https   t co mn84gzfboc"
"neutral","it s april 06  2019 at 05 00am   apple  iphone  unlocking prices has  dropped time  now to get it  unlocked swiftun  https   t co scgkgpok5u"
"positive","ball journey   ios source code   https   t co heujphjr5n via  codesterhq  iphone  ipad  itunes  appstore  https   t co qopddimtl7"
"neutral","rt  uxlinks  mobile ui  design trends setting the tone for 2019  gt  https   t co w2by9cbtb0   ar  augmentedreality  mr  ai  chatbot  voiceui "
"positive","blue turquoise girls  volleyball clear  iphone 6 6s  case  https   t co y1sjkn65ad"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co k2eeenilaz"
"positive"," iphone6  iphone  night  undergroundtunnels   university of science and technology beijing https   t co 65ahqtyghc"
"neutral","128gb apple iphone 7 plus for  399 at gazelle   270 off  no contract  30 day return   apple  iphone  iphone7plus https   t co atsamm2gzq"
"positive","young guakk   my phone  video  4fivehd https   t co tzalrlouf4 via  youtube  music   youtube  soundcloudartist  https   t co ausb6zoskj"
"negative","in burger memory game you must memorize the customer order and then you  select all the missing ingredients  choose  https   t co h4djfquzcf"
"positive","i don t like people playing on my phone   sprint  nomorobo  azerbaijan  sprint  iphone  nomorobo  https   t co dhgtvhebr4"
"positive","an iphone 11 part was seemingly stolen from foxconn  and it might confirm apple s new design   bgr  applenews  https   t co ci7ypmgodn"
"positive"," the royal dragoneers  just  99c or  free w   kindleunlimited  iphone  ipad the  kindle  bookreviews  https   t co 0xnrjrihbk"
"negative"," telemartstores    fraud  scam alert by  telemart  it s surprizing that the ceo  hamzabdulrauf has been nominated b  https   t co yqeoo3gz6s"
"negative","imagic trick for the iphone  ipad  amp  apple watch promo video  applewatch  iphone  ipad  apple  app  magic https   t co ix19clrejs  watch"
"positive","   with the wireless hive team about our custom pc services   wirelesshive  computerrepair  phonerepair  pcrepair  https   t co zrcbaf4au3"
"positive","it s not hump day   it s  sprint  saturday       free sprint drive for  10 a month  huge  sale  amp   savings on  apple  https   t co cibv3oqczu"
"positive","drum cover saturday  simple creatures            saturday  music  positive  love  iphone  california  losangeles  https   t co lwi5xamxmt"
"positive","rt  rekjezt  night setup lawnchair launcher kamijara white icons  https   t co cwjo8uedii by    illusionis team with my bra  aditya azka02 "
"positive","facebook inc s launched its whatsapp business app for apple inc s ios operating system  allowing small businesses t  https   t co mk82v9b7vu"
"positive"," giveaway   ios  horsemoji horse emoji stickers   2 99 to free  on https   t co uvbkt4cx3z get the paid app for  https   t co 21pmoactbs"
"positive","3  nuclear is not affordable  1   wtf with  iphone argument  investors  amp  consumers paid to develop the iphone  not  https   t co fi3ekgtvpj"
"positive","rt if you think  apple  apple is throttling your older  iphone  iphone6s   sales are down on new iphones and perfor  https   t co qnvnyylmqi"
"positive","ancestors the humankind odyssey release date this year  it has been announced in a post on the us playstation blog  https   t co bo3jrqfdz3"
"positive","about 500 new mobile games appear on the apple app store each day   iphone  facts"
"positive","gosh i found this in my drawer you have no idea how happy i was wen i bought this it worked for 3 years and finally  https   t co ncv30tr9je"
"positive","incredible    phone  android  iphone  phone https   t co xi5dz8prpf"
"neutral","rt  woody campbell  basil the norwich terrier on this date 6 years ago  day 1254 of one photo every day for the rest of my life    blackand "
"positive","applemusic  apple  news  iphone  ipad  ios9 3  beta1 new apple pay promo offers free delivery from grubhub https   t co yogvjtmiza"
"positive","our  giveaway is here  to celebrate the launch of our online store  our  giveaway is here  we are giving away  https   t co twma53xajz"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co vzbporsva5"
"positive","5 years ago google gave me this custom  youtube  google helpouts jacket my name embroidered on back  my friend gave  https   t co yo7rkoqxue"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 7eiq8yjtma"
"neutral","apple and its partners seek billions from  qualcomm   read  https   t co 05yv2kj8rj    iphone  triel https   t co 23mtnp5zwx"
"negative","mysterious blue nebula  it s all hidden in my latest ahmes phone hd wallpaper   grab it free at  https   t co borgnxfeoz"
"positive","rt  monkeyleader  i ve come to rather like diagonal clouds across an image     even when the weather calls for ice cream rather than iso "
"neutral","french bulldog iphone8 snap case  iphone  cases  https   t co 9hvpkdmdlh via  redbubble"
"positive","rt  pcmcamisetas  20  off  phonecases today   gifts  art  iphone  samsung  samsunggalaxy  movies  anime  80s  fantasy  videogames  pcmdesig "
"negative","one of these iphones is counterfeit  it was one of many that was used to rip off  apple for almost  1 million in a  https   t co x9rvznjnh4"
"positive","if you want to know more details  please contact me at any time  looking forward to your reply      logo  iphone  https   t co crj0gto8xq"
"positive","happy saturday   go to kmb computers     electronic repair service     call us   203 345 5612  https   t co dnvfelh8np"
"positive","next generation knx technology hos  smarthome  automation for knx eib  check this 30 sec preview for  appletv   https   t co chrrl5oqhd"
"neutral","all  iphone  wallpapers pack by  ar72014  part  3   15  https   t co yhpxozljao  16  https   t co yyrrftsy8y  17   https   t co lohq2d3n6i"
"positive","thank you  huaweiindia  have been an  iphone user for quite a while  will stick to it  try changing my perception   https   t co ucjjo6cit0"
"positive","the newest  iphone ios 12 2  update contains 4 new animoji  so far i didn t know i have  animoji at all   where i c  https   t co dprvsqhd3h"
"positive","tweak   gif2ani     customize you  respring animation    condition   98  work   some users voted bootloop respring   https   t co ht5zh9akuz"
"positive"," vladsavov good arguments indeed   i strongly advise  apple to remotely disable all  iphone cameras after dark with a software update  "
"negative","the  iphone was a signal of the disruptive effect tablets having on pc industry   2oyf"
"positive","rt  worksrave  very happy to start our new brand x store which allows the followers to buy their fascinated mobiles at a excited discounts  "
